gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	differentiation	diff_expr
immunoglobulin_heavy_chain	377.70803401216153	8.0184625915601	1.0530671983964464	7.614388335113068	2.6494311723199436e-14	1.0490996591447453e-12	TRUE	Healthy vs. Pre treatment	NA
SULT1A4	33.36607334735611	7.817234485771753	1.4108655702755672	5.540736587855714	3.012020011342753e-8	2.1789246835013166e-7	TRUE	Healthy vs. Pre treatment	NA
DKFZp667J0810	10419.788258336775	7.608346024070795	0.8320044956939591	9.144597250913671	5.985246532838724e-20	2.018575990152729e-17	TRUE	Healthy vs. Pre treatment	NA
abParts	64355.54652305825	7.215203509434226	0.7306212764470713	9.87543579968126	5.320119769727789e-23	4.955564895983108e-20	TRUE	Healthy vs. Pre treatment	NA
Ig_kappa	31131.928536513868	7.201362718631498	0.8385724186648654	8.587645572814283	8.87696121514406e-18	1.2142813869191117e-15	TRUE	Healthy vs. Pre treatment	NA
FCRL5	474.73833238031233	7.106993709434888	0.8693471488661153	8.175092905871377	2.9563798127210687e-16	2.294831171295112e-14	TRUE	Healthy vs. Pre treatment	NA
IGHG1	59840.322641352934	7.090556271102816	0.7826221205305854	9.05999981995872	1.3045077145185702e-19	3.808578418462351e-17	TRUE	Healthy vs. Pre treatment	NA
IGJ	4071.0231367508	7.0879493992419995	0.7978215010313241	8.884129332287463	6.442330841875672e-19	1.3660120461403806e-16	TRUE	Healthy vs. Pre treatment	NA
AK128525	2706.553922261052	7.046703817530814	0.8350660093690336	8.43849915871348	3.214382743354771e-17	3.572530729702425e-15	TRUE	Healthy vs. Pre treatment	NA
MZB1	404.7985868877048	6.721677942051943	0.8707187156412736	7.719689288063035	1.1661362227819156e-14	5.136396072441392e-13	TRUE	Healthy vs. Pre treatment	NA
PNOC	16.086965091902414	6.505189595748907	0.9490166081480732	6.8546635958703	7.148052759117076e-12	1.3694716946237914e-10	TRUE	Healthy vs. Pre treatment	NA
IGLL5	5374.390029444177	6.398469277933706	0.9099383100791536	7.031761611814231	2.0394203614866638e-12	4.4723208173812366e-11	TRUE	Healthy vs. Pre treatment	NA
TNFRSF17	43.44636575207189	6.3782862655891455	0.7622601606659125	8.367597566711419	5.880482802911118e-17	5.8095012175628466e-15	TRUE	Healthy vs. Pre treatment	NA
ELK2AP	1230.6555464640924	6.338655078140278	0.9991568903661806	6.34400376883477	2.2386934684741208e-10	2.834374300117947e-9	TRUE	Healthy vs. Pre treatment	NA
IGVK-A2	29.15648324563997	6.276505095077363	1.1454396652461103	5.479559758155211	4.26385423495097e-8	2.990507446750661e-7	TRUE	Healthy vs. Pre treatment	NA
ADAMDEC1	124.3761450838906	6.13416977194923	0.8391580218903795	7.309910186082384	2.673210031451708e-13	7.712486935874167e-12	TRUE	Healthy vs. Pre treatment	NA
FLJ00385	4121.803247664519	6.107599657506853	0.8224256242439659	7.426324615215397	1.1165677840246763e-13	3.6160898051832273e-12	TRUE	Healthy vs. Pre treatment	NA
BHLHA15	11.7149105878105	6.106371288467862	1.0416735019430683	5.862077970762857	4.571102757829683e-9	4.124323848980923e-8	TRUE	Healthy vs. Pre treatment	NA
IGHE	23.520159492606258	6.004028913106101	0.978298790998425	6.137213874074763	8.39812900821346e-10	9.116304191435267e-9	TRUE	Healthy vs. Pre treatment	NA
AK128652	1026.1600097605606	5.975975604440714	0.8158464452081403	7.324877909979876	2.391163065518072e-13	6.9811254812834335e-12	TRUE	Healthy vs. Pre treatment	NA
IGKV	5.2991291183513125	5.763056851861338	1.3402526207782477	4.29997805079082	1.708150265600373e-5	6.346273000077662e-5	TRUE	Healthy vs. Pre treatment	NA
CXCL13	91.471974905371	5.756297802160188	1.0879459924232626	5.290977532201539	1.2166431348148274e-7	7.620479141886917e-7	TRUE	Healthy vs. Pre treatment	NA
DKFZp686O16217	9036.06482127954	5.660278199699884	0.7814731703001253	7.243087049970059	4.3858520213018133e-13	1.1792170141783164e-11	TRUE	Healthy vs. Pre treatment	NA
UGT2B17	8.126400123246224	5.581930290733919	1.1672882482099736	4.78196392304451	1.7359083847301986e-6	8.201957467079086e-6	TRUE	Healthy vs. Pre treatment	NA
ANKRD36BP2	253.21513335697713	5.569488566675561	0.5145996960777838	10.822953470679296	2.6799923684005648e-27	2.6211665359141732e-23	TRUE	Healthy vs. Pre treatment	NA
CSN1S1	355.4611394997219	5.553458486698512	0.8345606771380385	6.654349574368881	2.8455561566954708e-11	4.600159006704141e-10	TRUE	Healthy vs. Pre treatment	NA
KIAA0125	391.38406860491375	5.440288406951633	0.7374880937071705	7.376781338400525	1.6216200814923638e-13	4.9759181592009055e-12	TRUE	Healthy vs. Pre treatment	NA
MMP1	4634.24340487353	5.289139002847325	0.8762982874790527	6.035774665340491	1.5820188699038994e-9	1.6025826573894453e-8	TRUE	Healthy vs. Pre treatment	NA
C15orf48	44.48071802995905	5.240096726909901	0.6036895444666763	8.680118406786741	3.9535701115515775e-18	6.498805458156339e-16	TRUE	Healthy vs. Pre treatment	NA
IGH@	477.6170674756379	5.204821170669336	0.9233990449924312	5.6365892935399335	1.734511163470956e-8	1.3389413128908985e-7	TRUE	Healthy vs. Pre treatment	NA
CXCL6	32.66049300835533	5.085868926411513	0.8281974537982629	6.14088935324155	8.206073126502246e-10	8.927641625556753e-9	TRUE	Healthy vs. Pre treatment	NA
IL8	39.83046988829495	5.052192839643255	0.6271054773665082	8.056368540838832	7.859443421957987e-16	5.1763829217818244e-14	TRUE	Healthy vs. Pre treatment	NA
MMP3	20537.69845350718	5.024242897291323	0.776842063638464	6.467521691293953	9.962324416565107e-11	1.3834889111706554e-9	TRUE	Healthy vs. Pre treatment	NA
AQP9	110.22489872452758	4.988081319545953	0.5710745269713798	8.734554044985336	2.4461928072184517e-18	4.3108087839639767e-16	TRUE	Healthy vs. Pre treatment	NA
CCL7	3.252048331768727	4.949540477198522	1.2710000477543533	3.894209513165275	9.851947277652393e-5	3.048306559603898e-4	TRUE	Healthy vs. Pre treatment	NA
ANKRD22	17.06646479816211	4.9273064669435405	1.2751673833652384	3.864046815516957	1.1152383278094872e-4	3.396944398984955e-4	TRUE	Healthy vs. Pre treatment	NA
DQ575049	202.4054275934331	4.91158880468711	0.9066881065352892	5.4170654377012575	6.058517169952141e-8	4.0901154993347154e-7	TRUE	Healthy vs. Pre treatment	NA
CYP1A1	9.581699128152472	4.847923603118431	1.1954646384399803	4.055263072812193	5.007790956796878e-5	1.6682118342286058e-4	TRUE	Healthy vs. Pre treatment	NA
AMPD1	7.5815102005516115	4.820780605241419	0.8901404980190978	5.415752474996357	6.103148435110313e-8	4.115259791078692e-7	TRUE	Healthy vs. Pre treatment	NA
PLA2G2D	73.31100665288618	4.697104505792631	0.6921004160524049	6.786738451313072	1.14696864953305e-11	2.083180478506591e-10	TRUE	Healthy vs. Pre treatment	NA
CD79A	122.20322639932046	4.669385032332134	0.7301386057377592	6.395203589617089	1.6033358224504956e-10	2.1176807577956883e-9	TRUE	Healthy vs. Pre treatment	NA
MMP13	27.925610624164104	4.63393407590818	0.7344761449102731	6.309168933559145	2.8053777518898317e-10	3.455667141354975e-9	TRUE	Healthy vs. Pre treatment	NA
UBD	127.12485551317708	4.632967711827202	0.7459114741899326	6.2111495427237555	5.259838741582172e-10	6.023870352698413e-9	TRUE	Healthy vs. Pre treatment	NA
X07060	67.00350478145545	4.6222283348917905	0.7131265269637435	6.481638475253063	9.073183941544539e-11	1.2696079433935923e-9	TRUE	Healthy vs. Pre treatment	NA
FLJ00382	17.259268228996255	4.594891662765073	1.2080215705141095	3.8036503444301735	1.4257939349882027e-4	4.250869556821251e-4	TRUE	Healthy vs. Pre treatment	NA
SLAMF7	357.8215348626051	4.5538682657134	0.558473243683753	8.15413865788013	3.5167720990464687e-16	2.676715137332606e-14	TRUE	Healthy vs. Pre treatment	NA
BCL2A1	36.29288611402573	4.535631837383395	0.6059174729052756	7.485560394282374	7.124248719126765e-14	2.4752651721996207e-12	TRUE	Healthy vs. Pre treatment	NA
BC065763	13.113832551674555	4.483165960798638	0.6544600994562759	6.85017461648654	7.375989904351429e-12	1.403518857188894e-10	TRUE	Healthy vs. Pre treatment	NA
