gene	term	estimate	std.error	statistic	p.value	conf.low	conf.high
5S_rRNA	log_expr	6.906786083883347	2.675834488119057	2.5811708887638942	0.00984658268851609	2.5946971565417134	14.14461794612428
7SK	log_expr	2.567101221990755	0.7709207605823244	3.3299158010113308	8.687224946196899e-4	1.270079308749519	4.365130122365826
7SK:ENSG00000260682	log_expr	3.9831183668328713	1.2757115920977875	3.122271829703301	0.00179461154203749	2.009055619082052	7.18677129978851
A1BG	log_expr	-1.4090572708773796	0.49149305005429544	-2.866891547544203	0.00414525037379755	-2.5712337138957233	-0.5975531978211385
A1BG-AS1	log_expr	0.33995104892530953	0.34851935060195344	0.9754151335877193	0.329354379828939	-0.298186335256662	1.1104103337054043
A1CF	log_expr	-0.19658405435784937	0.9221926059625062	-0.213170278190066	0.8311941500283555	-2.6704270491363804	1.6224218574763691
A2M	log_expr	1.883947991668943	0.7328365515935815	2.570761498689203	0.01014751842583999	0.6087703321329845	3.531400085776318
A2M-AS1	log_expr	-0.1810982801061144	0.5832703306600951	-0.31048772856518003	0.7561900898992147	-1.3623694975602865	0.97422189443398
A2ML1	log_expr	-0.24578974612634472	0.5627803566012252	-0.4367418713949648	0.662298559440073	-1.4623962911455746	0.8256470915819254
A2MP1	log_expr	0.26868782437919414	0.27842383529355014	0.9650316902498988	0.3345289392532035	-0.273076765197245	0.832093814420019
A3GALT2	log_expr	-0.10630621064877842	1.1340173069946575	-0.093743023138252	0.925313293211934	-2.5205313519580956	2.11601349294895
A4GALT	log_expr	-3.1997626193252895	1.0262389837368495	-3.117950760040294	0.00182113226576141	-5.817625532089514	-1.637803249230524
A4GNT	log_expr	2.377707124004551	0.8600905893278252	2.764484524662417	0.00570128114400217	0.817209064383253	4.246085059743797
AAAS	log_expr	-1.324742427241547	0.6732694095803726	-1.967626047449886	0.04911108044855056	-2.867653889664114	-0.1601802452290637
AACS	log_expr	-3.0504435412358233	1.049094262672154	-2.9076925208474793	0.00364106147281978	-5.45724006081447	-1.289802416130253
AACSP1	log_expr	-1.7489874303576898	1.3821265809329124	-1.2654321640910433	0.2057164513511968	-4.940894421640893	0.7083824548609936
AADAC	log_expr	1.5035001589944088	1.3706147610622	1.0969531349780774	0.2726618793238682	-1.1503318818397024	4.419927350941421
AADACL2	log_expr	1.1681245406795069	1.2642050393483089	0.923999275688435	0.35548669291039525	-1.3230503917536978	3.73797282370281
AADACL3	log_expr	-0.26274339268496316	0.5100711138005611	-0.5151112963979693	0.6064752493332459	-1.389211648712745	0.6978161087853566
AADAT	log_expr	-0.23973429390958473	0.4794416502297542	-0.5000280926671705	0.6170552966828062	-1.3382597944851755	0.7443412898726265
AAED1	log_expr	3.124374668197542	1.075604265430818	2.9047622518920733	0.00367532159270521	1.365531281604068	5.615186575425987
AAGAB	log_expr	4.146568444191251	1.2899169403457669	3.214601122363544	0.00130625896425689	1.9463790101007312	7.067455085285386
AAK1	log_expr	3.2592447157138476	1.339453214447485	2.433265067088038	0.01496334229046703	0.8657364150248612	6.193432796925047
AAMDC	log_expr	0.09156301671292272	0.3745590012478665	0.2444555234499101	0.806878044291482	-0.6627381680329582	0.8497396342409878
AAMP	log_expr	-4.904011212308482	1.4772540447650608	-3.3196803418388368	9.012057516336886e-4	-8.310836337319136	-2.4269642389951165
AANAT	log_expr	1.977609246893127	1.3571252849280138	1.4572046286780558	0.14505990329782806	-0.5951212304889163	4.871326413300699
AAR2	log_expr	-3.733731927257803	1.3186518574931785	-2.8314766373254954	0.00463336182978044	-6.769348729780654	-1.5276213189561505
AARD	log_expr	3.945486976074144	1.2510086895764183	3.1538445807359294	0.00161134874970089	1.6926153398154966	6.6601444249534625
AARS	log_expr	-2.507134048979793	0.9604980414693692	-2.610243790965342	0.00904777180451736	-4.599574551241414	-0.7888764866048059
AARS2	log_expr	-2.384800172832189	0.797915851764841	-2.9887865588300517	0.00280087717395032	-4.247311301731071	-1.057165507802589
AARSD1	log_expr	-3.9844412641723226	1.1158188217745957	-3.5708675874775766	3.558007413311015e-4	-6.64089582169571	-2.1405142060352267
AASDH	log_expr	5.243169714481482	1.7830146133435076	2.940620719114295	0.00327555338082347	2.4475329889958215	9.481341156193247
AASDHPPT	log_expr	3.8312492701033434	1.1970113245508898	3.2006792179186787	0.00137104076225724	1.857911514743297	6.67420084045975
AASS	log_expr	1.3725159902118294	0.49191477794533256	2.7901499441522364	0.00526836363274997	0.5250470983818457	2.4914534452456145
AATF	log_expr	-2.025960570931745	0.8239967394596084	-2.4586997422591814	0.01394411844993832	-3.873101952480973	-0.5694465127579565
AATK	log_expr	-1.200405235565172	0.4216546502762318	-2.8468919642621513	0.00441483422139425	-2.171777979998535	-0.4957014688784902
AB000466	log_expr	0.7823299892143483	0.48349064776029144	1.6180871188272037	0.1056438241113586	-0.01257653982518208	1.910600068787695
AB007962	log_expr	1.1607598930567664	0.43656959914471494	2.658819797188845	0.00784148919165183	0.428800425502919	2.1612306418831086
AB062081	log_expr	0.691885105840518	1.0837514917381978	0.6384167506250196	0.5232024298734703	-1.4487928405078812	2.852989055329252
AB062083	log_expr	-0.6323358636792829	0.8210773623251608	-0.7701294575807182	0.441223103633963	-2.2967286681556796	0.962192810439863
AB073649	log_expr	0.8487248527136574	0.4009931342021671	2.116557068744622	0.03429745695090355	0.16496649000699096	1.7892127086699954
AB074160	log_expr	-0.529300687490649	1.3616342726558066	-0.3887245629167895	0.6974799100749252	-3.529394757693092	2.0576834879464827
AB074162	log_expr	0.8721856304339238	0.4550034157342429	1.916877105255288	0.05525354630889138	0.10169793028274478	1.9349675632284296
AB074166	log_expr	2.3652146560944134	0.918657613405044	2.5746421970288185	0.01003438304354842	0.9128324554898412	4.527255992182816
AB074188	log_expr	0.8457570648550727	0.45793292843213856	1.846901614502278	0.06476140071683116	0.00291827293469927	1.8362403872812212
AB075489	log_expr	0.8558078322003473	0.3939310403018334	2.1724813346636	0.02981937601962462	0.16371464641680772	1.7341927260714651
AB075492	log_expr	0.41457574844255635	0.4071324480746016	1.018282257784059	0.3085438375752128	-0.32107782091941617	1.3257079189196277
AB209061	log_expr	-2.201626254233422	0.7598961612289311	-2.897272504539138	0.00376422632840926	-4.088747923270515	-1.0436341405446048
AB209185	log_expr	1.5108129443836305	0.5744456769174076	2.63003623334927	0.00853757681669955	0.4760654627816016	2.771915869851705
AB209315	log_expr	0.35792536447706264	0.29013725771675364	1.2336415091731758	0.21733651822286604	-0.18116388783241788	0.9871376020180064
AB209621	log_expr	-0.8609888890833999	0.4747202241141266	-1.8136764463534023	0.0697275533649557	-1.943722067091084	-0.0560903896310935
AB231710	log_expr	-0.19970247519858428	0.6764034269534055	-0.2952416667935376	0.7678092743423154	-1.7328234276113497	1.0930560179560362
AB231711	log_expr	0.38963328667767866	1.2086301686907042	0.3223759399451067	0.7471679092302028	-2.1555893129518524	2.9009856395222493
AB231729	log_expr	1.4860504261430518	0.7688758896235648	1.9327572189454525	0.05326611276516397	0.05106636739064536	3.1072128065842435
AB231731	log_expr	1.7870796333369494	1.2570561466274697	1.4216386739219795	0.15513117159272047	-0.4081810319797839	4.905516378321962
AB429224	log_expr	-1.682605655075868	1.7895845089746791	-0.94022140146927	0.34710400625208876	-6.139420730256427	1.3533521974095597
AB488780	log_expr	0.19573978040189097	0.37582707865301584	0.5208240478664621	0.6024893491737877	-0.5306232642529605	1.0082132812584363
AB586698	log_expr	1.8939221757757243	0.6817901438763924	2.7778667567818203	0.00547170507818293	0.7396882729204316	3.484587973524236
ABAT	log_expr	0.22211051252347483	0.6030203295200738	0.3683300572971496	0.7126271429978379	-0.9560190161678552	1.4587037990382767
ABCA1	log_expr	1.6520263262415154	0.6822197367898369	2.421545782323848	0.01545465417549779	0.4449564882529459	3.1719474552857885
ABCA10	log_expr	0.10230834754807296	0.20731031207560688	0.4935034177690143	0.6216569254996281	-0.3010270254930404	0.5289584353962978
ABCA11P	log_expr	0.7975667515635209	0.3942083941372973	2.023210980346957	0.04305140008493897	0.11948562269970849	1.683625571830706
ABCA12	log_expr	-0.2283168297108965	0.5768035291350889	-0.39583119412125534	0.6922295628081238	-1.6786395738313156	0.8438217216525659
ABCA13	log_expr	1.4532936557930092	0.7522963066577186	1.931810169651985	0.05338294041330967	0.05147878257447706	3.054606841193898
ABCA17P	log_expr	-1.4554972974447011	0.5666990799582314	-2.568377731532542	0.01021757501448314	-2.7730799258752934	-0.5218966820163733
ABCA2	log_expr	-2.7814766861044715	0.8166445747137511	-3.405981956200995	6.59265362370991e-4	-4.7834162855338915	-1.4842224816746683
ABCA3	log_expr	-3.2462720920277297	0.929078830611647	-3.4940760515343876	4.757054841301061e-4	-5.575012078124611	-1.7856398470883064
ABCA4	log_expr	-0.613027258631161	0.3355182823548808	-1.8271053795594856	0.06768392657223744	-1.3364109561465127	0.0014184605100069
ABCA5	log_expr	0.6404589497199593	0.25952873677757343	2.4677766233989664	0.01359551298955022	0.18315970444482535	1.223089465605421
ABCA6	log_expr	0.9333058008849334	0.40847072097551784	2.284878090297376	0.02231997707163543	0.1825559937870985	1.809034337092168
ABCA7	log_expr	-1.3247253143820314	0.43462517488566155	-3.047971886880533	0.0023039148020446	-2.3398316448032666	-0.5996508313786217
ABCA8	log_expr	-0.284044871033403	0.29690727667200384	-0.9566787120114604	0.33872944618463313	-0.8981452082880879	0.29077600306011886
ABCA9	log_expr	0.19173642230354343	0.30067392375204827	0.6376888953684573	0.5236762155862947	-0.3939788448789271	0.8018142589777384
ABCB1	log_expr	1.1629629561936732	0.5534155189902025	2.101428160734795	0.03560339808329664	0.2219984765510784	2.401396144134951
ABCB10	log_expr	5.734676342456862	1.8453382461131735	3.10765592949465	0.00188577475014111	2.822414340797372	10.239224985351852
ABCB11	log_expr	1.7342040919342132	0.6686373557275496	2.5936392531452452	0.00949660727701053	0.4911649405332005	3.14955519434352
ABCB4	log_expr	-0.37470979215677286	0.4193708104376407	-0.8935047047402723	0.3715869537725559	-1.2603837858653355	0.4176153305517219
ABCB5	log_expr	-0.16636498545054518	0.28212179555253236	-0.5896920694295215	0.5553971130416473	-0.7618031440315074	0.3731218324724998
ABCB6	log_expr	-0.9599799557831648	0.4403412847895369	-2.180081652443721	0.02925140953625136	-1.9488509185799112	-0.2235919914061009
ABCB7	log_expr	3.696814277954043	1.325368534537857	2.7892727053785733	0.00528265625452407	1.5806836326167126	6.89795417251762
ABCB8	log_expr	-1.1967964935554571	0.4637228965836833	-2.5808440824734724	0.00985590841121245	-2.268853387162866	-0.4070684174668705
ABCB9	log_expr	-1.3305682736627795	0.48621130724539674	-2.7366049572171423	0.00620767889275467	-2.44404317091574	-0.513053600940416
ABCC1	log_expr	-0.98305298015759	0.4960597482565925	-1.9817229348128744	0.04751025884540652	-2.0784890488588563	-0.09431685755572194
ABCC10	log_expr	-1.2233211575371237	0.4704053720131781	-2.600568000109601	0.00930695718033596	-2.2785029720123604	-0.4060696256212791
ABCC11	log_expr	-0.1641526850764246	0.6374396604864716	-0.25751878217171026	0.7967783180215893	-1.4460979671189704	1.0906062872693258
ABCC12	log_expr	-1.6985757368605958	1.358173977257722	-1.2506319258819671	0.21106879712796145	-5.040885548741496	0.5851940795469435
ABCC13	log_expr	-0.207050676640412	0.4448003987681411	-0.4654912118195746	0.6415797288783889	-1.2355034310607311	0.6216356913620396
ABCC2	log_expr	0.2480135063889354	0.326096099553187	0.7605534280500765	0.44692384570678584	-0.3621610968882879	0.9552708392029844
ABCC3	log_expr	-0.123169218056765	0.2177853583503996	-0.5655532538537111	0.5716975130758002	-0.5637867294186691	0.30776438102852816
ABCC4	log_expr	4.284363692174023	1.360128343251642	3.1499701579127803	0.00163287140650255	2.2155570239287847	7.769524907889533
ABCC5	log_expr	0.15559985113462346	0.2344728705107964	0.6636155850169404	0.5069363798205269	-0.2563704685374723	0.7264910856940636
ABCC5-AS1	log_expr	2.812878622474665	1.1162328652551037	2.5199747382745357	0.01173632568849526	0.7579322067554355	5.201442842373078
ABCC6	log_expr	-0.5510516604276188	0.2364226425692735	-2.3307905471285677	0.01976440681600205	-1.061662098606277	-0.1210353149860112
ABCC6P1	log_expr	0.4432982988099733	0.29995331852228757	1.4778909631467694	0.1394369655273509	-0.1145376816070139	1.084806568297161
ABCC6P2	log_expr	-0.6124307536496335	0.4648312449324004	-1.317533535721546	0.1876598476356419	-1.5970719591013731	0.2609836322651281
ABCC8	log_expr	-0.7998540036215326	0.4482259517222386	-1.784488382585207	0.07434434089321065	-1.750680525925996	0.02346696565868359
ABCC9	log_expr	-0.1626174027309999	0.27548749720508514	-0.5902895934690651	0.5549965149884102	-0.7268131736136414	0.37247317526030216
ABCD1	log_expr	-1.972983212067115	0.6354910415429379	-3.1046593627454104	0.00190498274741751	-3.470563713706748	-0.9329561690566504
ABCD2	log_expr	0.4100429058918114	0.1796326705758832	2.282674440998164	0.02244955241604091	0.08297998509546371	0.7994091256100538
ABCD3	log_expr	2.3535873664069316	0.8100361886231241	2.905533603884402	0.00366627479003022	1.0107827023861875	4.241128619238016
ABCD4	log_expr	-1.3101266486463792	0.5965464057374886	-2.1961856379416407	0.02807865892306881	-2.6382783223491657	-0.252512780736206
ABCE1	log_expr	6.673776809654592	2.224627428954645	2.9999525865733876	0.00270021635138914	3.3398709723361666	12.512732930051564
ABCF1	log_expr	-4.2259267701851	1.3295770074622728	-3.1783994055756204	0.00148090595829325	-7.2528708238963695	-1.9537058063184387
ABCF2	log_expr	0.6703531458588087	0.7450086583081449	0.899792423058716	0.3682307273365754	-0.6963092432297098	2.345104457805627
ABCF3	log_expr	-3.770020108942617	1.1696788004747685	-3.2231242520702086	0.00126800537584121	-6.483802175710628	-1.7881303939477131
ABCG1	log_expr	-0.26490889316362387	0.49401376692657806	-0.5362378761460619	0.5917941595645609	-1.2682254246544142	0.6998177837242073
ABCG2	log_expr	1.463940826761752	0.5591178344258213	2.6183046517647335	0.00883678718873418	0.5136695071870633	2.742162820361316
ABCG4	log_expr	-1.876458601296766	0.630635254934121	-2.9755053917700645	0.00292506208199958	-3.2668863291390395	-0.7607471445193836
ABCG5	log_expr	-0.4911207461652229	0.5713507675691586	-0.8595783431861334	0.3900215172686221	-1.809536585692262	0.5190622212490449
ABCG8	log_expr	-0.4723974789556683	0.45334974300208153	-1.0420155437333056	0.29740447249992	-1.4272010539529651	0.3829969463852341
ABHD1	log_expr	-0.652945435576749	0.4706571625949611	-1.3873058511990857	0.16534851967033506	-1.6844639746072645	0.207679526552123
ABHD10	log_expr	6.340818524637965	1.8756456803408577	3.3806057247900143	7.232624411761985e-4	3.339621395262093	10.910865652386262
ABHD11	log_expr	0.04105506300500271	0.4187136402492592	0.09805045515250646	0.9218922289331912	-0.803741291950171	0.9753380083127152
ABHD12	log_expr	0.04400882515322509	0.4474112432166	0.09836325264611112	0.9216438532761798	-0.8397542666520873	0.9527517307402316
ABHD12B	log_expr	2.171877512478661	1.902833585585082	1.1413912014858902	0.2537071644663996	-1.3390781145457404	6.854000755983726
ABHD13	log_expr	3.716039083137453	1.090113482414781	3.4088552642297527	6.523608112774423e-4	1.9142289742500984	6.278452865074643
ABHD14A	log_expr	-0.8748422057510894	0.6751159150675754	-1.295839997585485	0.19503061484650336	-2.4552688351018817	0.11746312908449588
ABHD14A-ACY1	log_expr	0.07601583243912816	0.3217757539261616	0.23623853417051316	0.8132475796432614	-0.6042866782792408	0.7396535250299987
ABHD14B	log_expr	-2.736100355123474	0.8868917455737134	-3.0850443346426037	0.00203521813241271	-4.745784506596017	-1.197095238772061
ABHD15	log_expr	-1.316247407469704	0.6085647210390016	-2.162871691317362	0.03055104963601544	-2.698868920046056	-0.2806842280752691
ABHD16A	log_expr	-0.07387163250733937	0.636176982430961	-0.11611805291203858	0.9075589814418026	-1.344410652511741	1.1915392878283568
ABHD16B	log_expr	-1.0306055125382836	0.7705039270040291	-1.3375733418330706	0.18103555934114285	-3.4890189099397264	-0.1340170174043502
ABHD17A	log_expr	-1.6974259569191572	0.5971904089050265	-2.842353011046274	0.00447818757745029	-3.119024910864826	-0.7245132916269899
ABHD17B	log_expr	3.185614259151328	1.141905016653621	2.7897366354399984	0.00527509320589869	1.2158629290271696	5.722135553406543
ABHD17C	log_expr	0.7671789208393609	0.4082625404728639	1.879131305925808	0.06022656645977292	0.05892217337025528	1.6802948584516766
ABHD2	log_expr	-0.2856123526833957	0.5971046770565025	-0.47832878163231823	0.632416214226466	-1.512268134276625	0.8845056411828489
ABHD3	log_expr	2.945337390555218	0.8685097814021702	3.3912541385545505	6.957355454488035e-4	1.5596606045825614	5.059519982211898
ABHD4	log_expr	-4.843739513739707	1.46897884956242	-3.297351432379412	9.760129471925264e-4	-8.233430312924886	-2.3810394604073135
ABHD5	log_expr	1.079094701700547	0.372784971238606	2.8946840268672154	0.00379540364700171	0.4301373261901477	1.9146958926079531
ABHD6	log_expr	0.5377779642333528	0.7591690303997541	0.7083771106286779	0.4787111028475238	-0.91651212140731	2.1279936004588555
ABHD8	log_expr	-1.5063077439887975	0.5681428868713448	-2.65128329298242	0.00801865522431306	-2.7572721760187653	-0.4891402871910307
ABI1	log_expr	6.302910929739996	1.892641737895235	3.330218711518707	8.677779268786334e-4	3.356180137778741	11.12950019960931
ABI2	log_expr	-0.5053254910749547	0.7363263364709612	-0.6862792569621519	0.4925370268579191	-2.0173413026764644	0.9452224771678812
ABI3	log_expr	-0.4029451859103193	0.28075919763627516	-1.4351985235131517	0.15123053424765498	-0.9997183780131044	0.12393520775738258
ABI3BP	log_expr	0.5428712258085248	0.49521880020130415	1.0962249930492345	0.27298032466617345	-0.3869888897825775	1.5944607062090874
ABL1	log_expr	-4.220435321411049	1.1822487254517968	-3.569837066052415	3.572033326807002e-4	-7.0532561489773125	-2.2965962282020125
ABL2	log_expr	3.311918896790222	1.1926372984631797	2.7769707530176424	0.00548681159179685	1.2557925462062611	6.033071567360967
ABLIM1	log_expr	-0.4429936682847441	0.3286752317308479	-1.3478157935779949	0.17771763687213565	-1.1270343604081572	0.1843504146789812
ABLIM2	log_expr	-1.6576336235637124	0.574067530027231	-2.887523743914034	0.00388287298476841	-2.9897082673412014	-0.7047036138667336
ABLIM3	log_expr	-1.5096652574601774	0.46534199960151706	-3.244205893198848	0.0011777857750882	-2.568673542769831	-0.7073734471387143
ABO	log_expr	-1.303297468798419	0.4844333141880697	-2.6903547518873663	0.00713760986609513	-2.4137169552743525	-0.4932833707911337
ABP1	log_expr	-0.24960010241663524	0.2469392400024666	-1.0107753729789646	0.31212395260431647	-0.7551847364998905	0.22681588921774765
abParts	log_expr	0.3037908233569654	0.09517412508350571	3.1919476337756665	0.00141316950607357	0.136131740246813	0.5176793406117902
ABR	log_expr	-2.508249671673844	0.7966202262827015	-3.1486140935413887	0.00164046671552612	-4.404975585253238	-1.2165358343597357
ABRA	log_expr	-0.05074684507127626	0.2678005383493838	-0.18949493299774403	0.849704926038749	-0.8316686365904888	0.4924210274120364
ABRACL	log_expr	1.922055789354827	0.5579050964449406	3.4451303664413	5.70784032555552e-4	0.9729039311151524	3.201739148134891
ABT1	log_expr	0.668546257992846	0.9745906136106326	0.6859764999336868	0.49272792757940487	-1.0895380183291352	2.959876602902764
ABTB1	log_expr	-3.182681820270959	0.9388217932949549	-3.390080889687057	6.987200332556637e-4	-5.450498278301344	-1.6723163819562883
ABTB2	log_expr	-2.22838488466552	0.6146419941700714	-3.625500544710465	2.8840228865730666e-4	-3.693751476535009	-1.2203117416779574
AC002064.5:ENSG00000225498	log_expr	1.9716365398695677	0.681242344353269	2.894177903373464	0.00380152708754284	0.7480227507607996	3.471076372705146
AC002331.1:ENSG00000236481	log_expr	47.69925602958747	6517.575478435194	0.00731855828711316	0.9941606874622804	-627.3881636130278	NA
AC002398.5:ENSG00000225872	log_expr	-1.701537851799409	2.58819206970849	-0.6574233310246772	0.5109087539139585	-8.404146309511184	2.902883636156675
AC002480.2:ENSG00000238033	log_expr	1.4196837782375578	0.6451081501625795	2.200691121139565	0.02775789780758723	0.2360860464053805	2.806174891968077
AC002511.2:ENSG00000233214	log_expr	1.8614589427849688	1.940365559694919	0.9593341489103956	0.33739043735486346	-1.930925820598848	6.04743442730486
AC002511.3:ENSG00000232680	log_expr	2.5498928700525334	1.2953817937519505	1.96844890236338	0.04901640990776654	0.159308715111614	5.36317789880802
AC003005.2:ENSG00000268266	log_expr	0.7646861945859036	0.906206322743654	0.8438323319911516	0.3987631055195389	-1.004050025288376	2.6533677123002755
AC003051.1:ENSG00000227517	log_expr	1.6790797567474836	0.86152279614803	1.948967298665627	0.05129933010392908	0.05710808034063763	3.482759134001664
AC003092.1:ENSG00000236453	log_expr	44.59540815003783	4371.557258631464	0.01020126364855132	0.9918607104046396	-524.8469333048643	NA
AC003682.16:ENSG00000268392	log_expr	1.5173332449090693	0.7328884173553307	2.0703468754281205	0.03841987287158586	0.2137185692907517	3.1157049288644236
AC004012.1:ENSG00000233942	log_expr	0.19671246081088023	1.2318544256527286	0.15968807410554803	0.8731267958268105	-2.354862029443135	2.6351883672408754
AC004014.3:ENSG00000229603	log_expr	-0.4538198943422768	1.2979627325913152	-0.34964015756927697	0.7266087694467327	-3.604991259554073	1.994569430655394
AC004019.18:ENSG00000272675	log_expr	-0.5705243162134767	0.4710684462115786	-1.2111282782825743	0.22584624508427695	-1.6499242509265877	0.20863917985014527
AC004051.2:ENSG00000246774	log_expr	-1.3476427784209826	1.5565468241094331	-0.865790066541703	0.38660529757187234	-5.932965524504938	0.9145357074338356
AC004069.2:ENSG00000251259	log_expr	1.1507570006817358	0.5989999046345127	1.9211305240255163	0.0547152542871254	0.0799624012911756	2.4757751066976588
AC004156.3:ENSG00000267666	log_expr	-1.340641872582363	0.6273616873144973	-2.136952095881331	0.03260188811267798	-2.731508738232622	-0.22950555423563965
AC004158.2:ENSG00000261008	log_expr	0.73226231522763	0.4938358495063105	1.4828050980091367	0.1381262012058618	-0.17584284928610708	1.808448974379584
